team,rush_att,rush_yds,rush_tds,pass_cmp,pass_att,pass_yds,pass_tds,pass_int,passer_rating,net_pass_yds,total_yds,times_sacked,yds_sacked_for,fumbles,fumbles_lost,turnovers,penalties,penalty_yds,first_downs,third_down_conv,third_down_att,third_down_conv_pct,fourth_down_conv,fourth_down_att,fourth_down_conv_pct,time_of_possession,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,won_toss,won_toss_decision,won_toss_overtime,won_toss_overtime_decision,temperature,humidity_pct,wind_speed
Giants,21,74,0,22,42,186,0,2,44.345,166,240,5,20,1,0,2,9,95,14,7,18,0.389,1,3,0.333,1946,"0    1.5
Name: tm_spread, dtype: float64","0   -1.5
Name: opp_spread, dtype: float64","0    41.0
Name: total, dtype: float64","0    81908
Name: attendance, dtype: int64","0    172
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    MIN
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    64.0
Name: temperature, dtype: float64","0    48.0
Name: humidity_pct, dtype: float64","0    10.0
Name: wind_speed, dtype: float64"
Seahawks,25,99,1,26,42,138,0,2,47.52,132,231,2,6,2,1,3,8,60,13,5,18,0.278,1,1,1.0,1874,"0   -6.0
Name: tm_spread, dtype: float64","0    6.0
Name: opp_spread, dtype: float64","0    42.0
Name: total, dtype: float64","0    68714
Name: attendance, dtype: int64","0    195
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    DEN
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    73.0
Name: temperature, dtype: float64","0    72.0
Name: humidity_pct, dtype: float64","0    7.0
Name: wind_speed, dtype: float64"
Broncos,33,146,2,18,25,171,1,1,87.25,158,304,2,13,1,1,2,6,41,19,4,12,0.333,0,0,0.0,1726,"0   -6.0
Name: tm_spread, dtype: float64","0    6.0
Name: opp_spread, dtype: float64","0    42.0
Name: total, dtype: float64","0    68714
Name: attendance, dtype: int64","0    195
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    DEN
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    73.0
Name: temperature, dtype: float64","0    72.0
Name: humidity_pct, dtype: float64","0    7.0
Name: wind_speed, dtype: float64"
Chargers,22,71,0,25,33,257,1,1,95.139,225,296,4,32,2,2,3,2,15,14,5,14,0.357,0,1,0.0,1904,"0   -3.0
Name: tm_spread, dtype: float64","0    3.0
Name: opp_spread, dtype: float64","0    40.0
Name: total, dtype: float64","0    70240
Name: attendance, dtype: int64","0    170
Name: duration, dtype: int64","0    Dome
Name: roof_type, dtype: object","0    Matrixturf
Name: surface_type, dtype: object","0    LV
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
Raiders,27,176,1,17,26,144,1,0,92.468,140,316,1,4,0,0,0,7,50,11,4,15,0.267,0,0,0.0,1696,"0   -3.0
Name: tm_spread, dtype: float64","0    3.0
Name: opp_spread, dtype: float64","0    40.0
Name: total, dtype: float64","0    70240
Name: attendance, dtype: int64","0    170
Name: duration, dtype: int64","0    Dome
Name: roof_type, dtype: object","0    Matrixturf
Name: surface_type, dtype: object","0    LV
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
Cowboys,25,102,1,19,32,179,1,0,85.286,163,265,3,16,1,0,0,11,85,15,4,14,0.286,0,0,0.0,1746,"0   -2.5
Name: tm_spread, dtype: float64","0    2.5
Name: opp_spread, dtype: float64","0    41.0
Name: total, dtype: float64","0    67431
Name: attendance, dtype: int64","0    199
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Grass
Name: surface_type, dtype: object","0    CLE
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    68.0
Name: temperature, dtype: float64","0    41.0
Name: humidity_pct, dtype: float64","0    15.0
Name: wind_speed, dtype: float64"
Browns,19,93,1,24,45,169,1,2,51.065,137,230,6,32,1,0,2,11,64,15,2,15,0.133,3,5,0.6,1854,"0   -2.5
Name: tm_spread, dtype: float64","0    2.5
Name: opp_spread, dtype: float64","0    41.0
Name: total, dtype: float64","0    67431
Name: attendance, dtype: int64","0    199
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Grass
Name: surface_type, dtype: object","0    CLE
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    68.0
Name: temperature, dtype: float64","0    41.0
Name: humidity_pct, dtype: float64","0    15.0
Name: wind_speed, dtype: float64"
Buccaneers,30,138,3,17,24,184,0,0,93.056,161,299,2,23,3,0,0,7,51,22,2,8,0.25,1,1,1.0,1579,"0   -3.5
Name: tm_spread, dtype: float64","0    3.5
Name: opp_spread, dtype: float64","0    42.5
Name: total, dtype: float64","0    63020
Name: attendance, dtype: int64","0    182
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Grass
Name: surface_type, dtype: object","0    TB
Name: won_toss, dtype: object","0    Accepted
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    93.0
Name: temperature, dtype: float64","0    60.0
Name: humidity_pct, dtype: float64","0    6.0
Name: wind_speed, dtype: float64"
Football Team,30,112,0,24,30,289,4,0,146.389,280,392,1,9,0,0,0,7,46,22,9,13,0.692,0,0,0.0,2021,"0   -3.5
Name: tm_spread, dtype: float64","0    3.5
Name: opp_spread, dtype: float64","0    42.5
Name: total, dtype: float64","0    63020
Name: attendance, dtype: int64","0    182
Name: duration, dtype: int64","0    Outdoors
Name: roof_type, dtype: object","0    Grass
Name: surface_type, dtype: object","0    TB
Name: won_toss, dtype: object","0    Accepted
Name: won_toss_decision, dtype: object","0    None
Name: won_toss_overtime, dtype: object","0    None
Name: won_toss_overtime_decision, dtype: object","0    93.0
Name: temperature, dtype: float64","0    60.0
Name: humidity_pct, dtype: float64","0    6.0
Name: wind_speed, dtype: float64"
Lions,23,83,1,34,49,317,1,1,85.162,304,387,2,13,0,0,1,6,50,26,5,12,0.417,1,2,0.5,2096,"0   -4.5
Name: tm_spread, dtype: float64","0    4.5
Name: opp_spread, dtype: float64","0    52.5
Name: total, dtype: float64","0    66530
Name: attendance, dtype: int64","0    194
Name: duration, dtype: int64","0    Dome
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    DET
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    DET
Name: won_toss_overtime, dtype: object","0    Accepted
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
Rams,31,163,2,18,28,217,1,1,84.97,200,363,2,17,0,0,1,6,56,21,6,13,0.462,1,1,1.0,1785,"0   -4.5
Name: tm_spread, dtype: float64","0    4.5
Name: opp_spread, dtype: float64","0    52.5
Name: total, dtype: float64","0    66530
Name: attendance, dtype: int64","0    194
Name: duration, dtype: int64","0    Dome
Name: roof_type, dtype: object","0    Fieldturf
Name: surface_type, dtype: object","0    DET
Name: won_toss, dtype: object","0    Deferred
Name: won_toss_decision, dtype: object","0    DET
Name: won_toss_overtime, dtype: object","0    Accepted
Name: won_toss_overtime_decision, dtype: object","0    None
Name: temperature, dtype: object","0    None
Name: humidity_pct, dtype: object","0    None
Name: wind_speed, dtype: object"
